# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP
2009	01	01	5.7171	 56.3557	 -50.6386	 246.6281	 -8.8535	 21.9526	 -20.7256	 22.6238	 0.4330	 130.9697	 1.6548	 -0.7550	 1.2394
2009	01	02	0.9203	 28.2711	 -27.3509	 275.8917	 -8.6797	 8.3611	 -5.5265	 7.2210	 0.5006	 198.8802	 1.2340	 1.1476	 -0.6215
2009	01	03	-8.9348	 26.1879	 -35.1226	 256.0196	 -8.2933	 6.8617	 -6.4544	 -0.4729	 0.6836	 192.8011	 1.6130	 -0.1407	 -2.0713
2009	01	04	-8.3898	 28.1805	 -36.5703	 246.1711	 -11.4386	 3.4292	 -9.3668	 -6.6714	 0.7187	 82.7190	 4.1378	 -2.9048	 -3.2110
2009	01	05	-10.3260	 21.4042	 -31.7302	 248.5987	 -7.0309	 4.2405	 -6.1200	 -6.9141	 0.7452	 190.5599	 1.7252	 -2.0585	 -4.8480
2009	01	06	1.0934	 9.7006	 -8.6072	 284.1221	 -0.6513	 0.7182	 -2.1061	 -0.4553	 0.7687	 805.0864	 0.5189	 -1.2439	 -2.9822
2009	01	07	-6.5422	 32.1211	 -38.6633	 253.8888	 -1.1331	 4.3559	 -2.3407	 -12.1052	 0.6451	 122.7359	 1.4613	 0.9545	 -2.4570
2009	01	08	0.4774	 37.0451	 -36.5677	 256.7325	 0.5393	 6.0635	 -2.3910	 -8.3789	 0.5674	 220.0928	 0.7551	 2.1287	 -2.1918
2009	01	09	-9.7335	 59.5592	 -69.2926	 242.7244	 -20.1535	 11.7452	 0.5356	 -22.9292	 0.3540	 23.9026	 4.4936	 3.4121	 0.9350
2009	01	10	25.5632	 100.4018	 -74.8386	 246.6385	 -12.4027	 30.4738	 -0.0759	 3.2046	 0.1597	 17.1179	 3.4454	 3.8177	 2.9793
2009	01	11	28.2867	 97.6055	 -69.3188	 252.9933	 -3.7867	 31.6451	 -0.2997	 0.0000	 0.1597	 25.0644	 2.3699	 4.3818	 3.4200
2009	01	12	25.1856	 101.0579	 -75.8723	 259.5207	 -27.1947	 42.8946	 1.1139	 -0.0000	 0.1597	 10.7184	 5.5047	 6.4023	 6.1749
2009	01	13	25.5908	 97.9262	 -72.3354	 266.1241	 -16.0970	 44.3839	 -0.2280	 0.0000	 0.1597	 14.9840	 3.9333	 7.2719	 6.8397
2009	01	14	28.6504	 106.8320	 -78.1815	 253.8328	 -12.9768	 42.4369	 -0.4239	 -0.0000	 0.1597	 17.1797	 3.4324	 6.1356	 5.4427
